"code","name_kor","name_eng","type"
"098120","마이크로컨텍솔","Micro Contact Solution Co.,Ltd.","KOSDAQ"
"009520","포스코엠텍","POSCO M-TECH CO.,LTD.","KOSDAQ"
"095570","AJ네트웍스","AJ Networks Co.,Ltd.","KOSPI"
"006840","AK홀딩스","AK Holdings, Inc.","KOSPI"
"282330","BGF리테일","BGF Retail","KOSPI"
"027410","BGF","BGF","KOSPI"
"138930","BNK금융지주","BNK Financial Group Inc.","KOSPI"
"001465","BYC우","BYC(1P)","KOSPI"
"001460","BYC","BYC","KOSPI"
"001045","CJ우","CJ(1P)","KOSPI"
"00104K","CJ4우(전환)","CJ(4PC)","KOSPI"
"001040","CJ","CJ Corp.","KOSPI"
"011155","CJ씨푸드1우","CJSEAFOODCORPORATION(1P)","KOSPI"
"011150","CJ씨푸드","CJSEAFOODCORPORATION","KOSPI"
"058820","CMG제약","CMG Pharmaceutical Co., Ltd.","KOSDAQ"
"000590","CS홀딩스","CSHOLDINGS","KOSPI"
"012030","DB","DB Inc.","KOSPI"
"016610","DB금융투자","DB Financial Investment Co., LTD.","KOSPI"
"005830","DB손해보험","DB INSURANCE","KOSPI"
"000995","DB하이텍1우","DB HiTek Co.,LTD(1P)","KOSPI"
"000990","DB하이텍","DB HiTek Co.,LTD","KOSPI"
"139130","DGB금융지주","DGB Financial Group","KOSPI"
"001530","DI동일","DI DONGIL","KOSPI"
"000215","DL우","DL(1P)","KOSPI"
"001880","DL건설","DLConstruction","KOSPI"
"000210","DL","DL","KOSPI"
"37550K","DL이앤씨우","DL E&C CO., LTD.(1P)","KOSPI"
"37550L","DL이앤씨2우(전환)","DL E&C(2PC)","KOSPI"
"375500","DL이앤씨","DL E&C CO., LTD.","KOSPI"
"155660","DSR","DSR CORP","KOSPI"
"069730","DSR제강","DSRWIRECORP","KOSPI"
"017940","E1","E1Corporation","KOSPI"
"365550","ESR켄달스퀘어리츠","ESR KENDALL SQUARE REIT","KOSPI"
"050120","ES큐브","ES CUBE","KOSDAQ"
"383220","F&F","F&F","KOSPI"
"007700","F&F홀딩스","F&F Holdings","KOSPI"
"078935","GS우","GS Holdings(1P)","KOSPI"
"006360","GS건설","GS Engineering & Construction Corp","KOSPI"
"078930","GS","GS Holdings","KOSPI"
"012630","HDC","HDC HOLDINGS CO.,Ltd","KOSPI"
"294870","HDC현대산업개발","HYUNDAI DEVELOPMENT COMPANY","KOSPI"
"097230","HJ중공업","HJ SHIPBUILDING & CONSTRUCTION","KOSPI"
"014790","HL D&I","HL D&I HALLA CORPORATION","KOSPI"
"204320","HL만도","HL Mando","KOSPI"
"060980","HL홀딩스","HL Holdings Corporation","KOSPI"
"003560","IHQ","IHQ","KOSPI"
"175330","JB금융지주","JB Financial Group Co., Ltd.","KOSPI"
"234080","JW생명과학","JW LIFESCIENCE","KOSPI"
"001065","JW중외제약우","JWPHARMACEUTICAL(1P)","KOSPI"
"001067","JW중외제약2우B","JWPHARMACEUTICAL(2PB)","KOSPI"
"001060","JW중외제약","JWPHARMACEUTICAL","KOSPI"
"096760","JW홀딩스","JW HOLDINGS CORPORATION","KOSPI"
"105560","KB금융","KB Financial Group","KOSPI"
"432320","KB스타리츠","KB STAR REIT","KOSPI"
"024120","KB오토시스","KB Autosys Co.,Ltd","KOSDAQ"
"009070","KCTC","KCTC","KOSPI"
"044180","KD","KD Corporation","KOSDAQ"
"016380","KG스틸","KG DONGBUSTEEL","KOSPI"
"001390","KG케미칼","KG Chemical","KOSPI"
"033180","KH 필룩스","KH FEELUX Co.,Ltd.","KOSPI"
"001940","KISCO홀딩스","KISCO Holdings","KOSPI"
"025000","KPX케미칼","KPXCHEMICAL","KOSPI"
"092230","KPX홀딩스","KPXHOLDINGS","KOSPI"
"000040","KR모터스","KR MOTORS","KOSPI"
"093050","LF","LF","KOSPI"
"003555","LG우","LG Corp.(1P)","KOSPI"
"034220","LG디스플레이","LG Display","KOSPI"
"003550","LG","LG Corp.","KOSPI"
"051905","LG생활건강우","LG H&H(1P)","KOSPI"
"051900","LG생활건강","LG H&H","KOSPI"
"373220","LG에너지솔루션","LG Energy Solution","KOSPI"
"032640","LG유플러스","LG Uplus","KOSPI"
"011070","LG이노텍","LG Innotek","KOSPI"
"066575","LG전자우","LGELECTRONICS(1P)","KOSPI"
"066570","LG전자","LGELECTRONICS","KOSPI"
"051915","LG화학우","LGCHEM,LTD(1P)","KOSPI"
"051910","LG화학","LGCHEM,LTD","KOSPI"
"079550","LIG넥스원","LIG Nex1 Co., Ltd.","KOSPI"
"010120","LS ELECTRIC","LS ELECTRIC","KOSPI"
"000680","LS네트웍스","LSNetworks","KOSPI"
"006260","LS","LS","KOSPI"
"108320","LX세미콘","LX Semicon","KOSPI"
"001120","LX인터내셔널","LX INTERNATIONAL CORP.","KOSPI"
"086960","MDS테크","MDS Tech","KOSDAQ"
"023150","MH에탄올","MHETHANOL","KOSPI"
"035420","NAVER","NAVER","KOSPI"
"181710","NHN","NHN","KOSPI"
"338100","NH프라임리츠","NH Prime REIT","KOSPI"
"034310","NICE","NICEHoldings","KOSPI"
"008260","NI스틸","NI STEEL","KOSPI"
"004255","NPC우","NPC(1P)","KOSPI"
"004250","NPC","NPC","KOSPI"
"010060","OCI","OCI","KOSPI"
"010955","S-Oil우","S-Oil(1P)","KOSPI"
"010950","S-Oil","S-OilCorporation","KOSPI"
"950110","SBI핀테크솔루션즈","SBI FinTech Solutions Co., Ltd.","KOSDAQ"
"005090","SGC에너지","SGC Energy","KOSPI"
"001380","SG글로벌","SG GLOBAL","KOSPI"
"001770","SHD","SHIN HWA DYNAMICS","KOSPI"
"002360","SH에너지화학","SH ENERGY & CHEMICAL","KOSPI"
"009160","SIMPAC","SIMPACInc","KOSPI"
"123700","SJM","SJM CO.,LTD","KOSPI"
"025530","SJM홀딩스","SJM HOLDINGS","KOSPI"
"03473K","SK우","SK(1P)","KOSPI"
"011790","SKC","SKC","KOSPI"
"018670","SK가스","SKGas","KOSPI"
"001745","SK네트웍스우","SKNetworksCo.,Ltd(1P)","KOSPI"
"001740","SK네트웍스","SKNetworksCo.,Ltd","KOSPI"
"210980","SK디앤디","SK D&D Co., Ltd","KOSPI"
"395400","SK리츠","SK REIT","KOSPI"
"034730","SK","SK","KOSPI"
"402340","SK스퀘어","SKSQUARE","KOSPI"
"260870","SK시그넷","SK Signet","KONEX"
"361610","SK아이이테크놀로지","SK ie technology","KOSPI"
"096775","SK이노베이션우","SK Innovation(1P)","KOSPI"
"096770","SK이노베이션","SK Innovation","KOSPI"
"001515","SK증권우","SKSecurities(1P)","KOSPI"
"001510","SK증권","SKSecurities","KOSPI"
"28513K","SK케미칼우","SKCHEMICALS(1P)","KOSPI"
"285130","SK케미칼","SKCHEMICALS","KOSPI"
"017670","SK텔레콤","SKTelecom","KOSPI"
"064960","SNT모티브","SNT MOTIV","KOSPI"
"100840","SNT에너지","SNTEnergy Co.,Ltd.","KOSPI"
"003570","SNT중공업","SNT DYNAMICS","KOSPI"
"036530","SNT홀딩스","SNT Holdings","KOSPI"
"005610","SPC삼립","SPC SAMLIP","KOSPI"
"011810","STX","STX","KOSPI"
"077970","STX엔진","STXEngineCo.,Ltd","KOSPI"
"071970","STX중공업","STX Heavy Industries","KOSPI"
"084870","TBH글로벌","TBH GLOBAL","KOSPI"
"002710","TCC스틸","TCC STEEL","KOSPI"
"024070","WISCOM","WISCOM","KOSPI"
"079940","가비아","GABIA, Inc.","KOSDAQ"
"078890","가온미디어","KAON Media Co., Ltd.","KOSDAQ"
"000500","가온전선","GAONCABLE","KOSPI"
"399720","가온칩스","GAONCHIPS CO., LTD.","KOSDAQ"
"036620","감성코퍼레이션","GAMSUNG Corporation","KOSDAQ"
"000860","강남제비스코","KANGNAM JEVISCO","KOSPI"
"217730","강스템바이오텍","KANGSTEM BIOTECH CO., LTD.","KOSDAQ"
"035250","강원랜드","Kangwon Land, Inc.","KOSPI"
"114190","강원에너지","KANGWON ENERGY","KOSDAQ"
"094480","갤럭시아머니트리","GalaxiaMoneytree Co.,Ltd.","KOSDAQ"
"011420","갤럭시아에스엠","GALAXIA SM","KOSPI"
"039240","경남스틸","Kyeong Nam Steel Co., LTD","KOSDAQ"
"053950","경남제약","KYUNG NAM PHARM.CO.,LTD.","KOSDAQ"
"002100","경농","Kyungnong","KOSPI"
"009450","경동나비엔","KYUNGDONGNAVIEN","KOSPI"
"267290","경동도시가스","KYUNGDONG CITY GAS","KOSPI"
"012320","경동인베스트","KYUNGDONG INVEST","KOSPI"
"011040","경동제약","KyungdongPharm","KOSDAQ"
"000050","경방","Kyungbang","KOSPI"
"214390","경보제약","KYONGBO PHARMACEUTICAL CO., LTD.","KOSPI"
"012610","경인양행","KyunginSynthetic","KOSPI"
"009140","경인전자","KyunginElectronics","KOSPI"
"024910","경창산업","KyungchangIndustrial","KOSDAQ"
"013580","계룡건설","KyeryongConstructionIndustrial","KOSPI"
"012205","계양전기우","KeyangElectricMachinery(1P)","KOSPI"
"012200","계양전기","KeyangElectricMachinery","KOSPI"
"002140","고려산업","KoreaIndustrial","KOSPI"
"198440","고려시멘트","KOREA CEMENT co., Ltd.","KOSDAQ"
"049720","고려신용정보","KORYO CREDIT INFORMATION CO., LTD.","KOSDAQ"
"010130","고려아연","KoreaZinc","KOSPI"
"002240","고려제강","KISWire","KOSPI"
"014570","고려제약","KOREAN DRUG CO., LTD.","KOSDAQ"
"348150","고바이오랩","KoBioLabs, Inc","KOSDAQ"
"098460","고영","Koh Young Technology Inc.","KOSDAQ GLOBAL"
"035290","골드앤에스","Gold&S","KOSDAQ"
"038530","골드퍼시픽","Gold Pacific Co.,Ltd","KOSDAQ"
"215000","골프존","GOLFZON Co., Ltd.","KOSDAQ GLOBAL"
"121440","골프존뉴딘홀딩스","GOLFZON NEWDIN HOLDINGS Co., Ltd.","KOSDAQ"
"183410","골프존데카","GolfzonDeca","KONEX"
"366030","공구우먼","09women Co., Ltd.","KOSDAQ"
"076340","관악산업","GWANAK CONSTRUCTION AND EQUIPMENT SERVICE","KONEX"
"009290","광동제약","KwangdongPharmaceutical","KOSPI"
"014200","광림","KANGLIM Co., LTD.","KOSDAQ"
"017040","광명전기","KWANG MYUNG ELECTRIC","KOSPI"
"029480","광무","Kwangmu","KOSDAQ"
"017900","광전자","AUK","KOSPI"
"037710","광주신세계","GwangjuShinsegae","KOSPI"
"026910","광진실업","KwangjinInd","KOSDAQ"
"355150","교보10호스팩","Kyobo 10 Special Purpose Acquisition Company","KOSDAQ"
"397880","교보11호스팩","Kyobo 11 Special Purpose Acquisition Company","KOSDAQ"
"421800","교보12호스팩","Kyobo 12 Special Purpose Acquisition Company","KOSDAQ"
"440790","교보13호스팩","Kyobo 13 Special Purpose Acquisition Company","KOSDAQ"
"030610","교보증권","KYOBOSECURITIESCO.,LTD.","KOSPI"
"339770","교촌에프앤비","KYOCHON FOOD&BEVERAGE","KOSPI"
"053270","구영테크","GUYOUNGTECHNOLOGY COMPANY LIMITED","KOSDAQ"
"007690","국도화학","KukdoChemical","KOSPI"
"005320","국동","Kukdong","KOSPI"
"066620","국보디자인","KUKBO DESIGN","KOSDAQ"
"001140","국보","KUKBO","KOSPI"
"043650","국순당","KOOK SOON DANG CO., LTD.","KOSDAQ"
"006050","국영지앤엠","KUK YOUNG G&M","KOSDAQ"
"060480","국일신동","KUKIL METAL CO., LTD","KOSDAQ"
"078130","국일제지","KUK-IL PAPER MFG CO.,LTD","KOSDAQ"
"307750","국전약품","KUKJEON PHARMACEUTICAL Co.,Ltd","KOSDAQ"
"002720","국제약품","Kukje Pharma","KOSPI"
"243870","굿센","Goodcen","KONEX"
"035080","그래디언트","Gradiant","KOSDAQ"
"114090","GKL","Grand Korea Leisure","KOSPI"
"900290","GRT","Great Rich Technologies Limited","KOSDAQ"
"204020","그리티","GRITEE, Inc.","KOSDAQ"
"083420","그린케미칼","GREEN CHEMICAL","KOSPI"
"186230","그린플러스","GREEN PLUS Co., Ltd","KOSDAQ"
"014530","극동유화","KukdongOil&Chem.","KOSPI"
"083450","GST","Global Standard Technology Co., Ltd.","KOSDAQ"
"900070","글로벌에스엠","Global SM Tech Limited","KOSDAQ"
"204620","글로벌텍스프리","Global Tax Free Co., Ltd.","KOSDAQ"
"019660","글로본","GLOBON CO., LTD.","KOSDAQ"
"014285","금강공업우","KUMKANG KIND(1P)","KOSPI"
"014280","금강공업","KUMKANG KIND","KOSPI"
"053260","금강철강","KEUM KANG STEEL CO., LTD","KOSDAQ"
"008870","금비","Kumbi","KOSPI"
"001570","금양","Kumyang","KOSPI"
"002995","금호건설우","KUMHOE&C(1P)","KOSPI"
"002990","금호건설","KUMHOE&C","KOSPI"
"011785","금호석유우","KumhoPetrochemical(1P)","KOSPI"
"011780","금호석유","KumhoPetrochemical","KOSPI"
"214330","금호에이치티","Kumho HT, Inc.","KOSPI"
"001210","금호전기","KumhoElectric","KOSPI"
"073240","금호타이어","KUMHOTIRECO.,INC","KOSPI"
"036190","금화피에스시","GEUMHWA PSC CO.,LTD.","KOSDAQ"
"049080","기가레인","GIGALANE Co., Ltd.","KOSDAQ"
"035460","기산텔레콤","Kisan Telecom CO.,Ltd","KOSDAQ"
"092440","기신정기","KISHIN CORPORATION","KOSPI"
"000270","기아","KIA CORPORATION","KOSPI"
"013700","까뮤이앤씨","CAMUS ENGINEERING & CONSTRUCTION Inc.","KOSPI"
"308100","까스텔바작","Castelbajac Co., Ltd.","KOSDAQ"
"004545","깨끗한나라우","KleanNara(1P)","KOSPI"
"004540","깨끗한나라","KleanNara","KOSPI"
"407400","꿈비","GGUMBI Inc.","KOSDAQ"
"187790","나노","NANO. Co., Ltd.","KOSDAQ"
"286750","나노브릭","NANOBRICK Co., Ltd.","KOSDAQ"
"121600","나노신소재","Advanced Nano Products Co.,Ltd","KOSDAQ"
"247660","나노씨엠에스","NANOCMS CO.,LTD","KOSDAQ"
"039860","나노엔텍","NanoenTek,Inc.","KOSDAQ"
"091970","나노캠텍","Nano Chem Tech Inc.","KOSDAQ"
"244880","나눔테크","NANOOM","KONEX"
"288490","나라소프트","NARASOFT","KONEX"
"051490","나라엠앤디","NARA MOLD & DIE CO., LTD.","KOSDAQ"
"137080","나래나노텍","NARAE NANOTECH CORPORATION","KOSDAQ"
"190510","나무가","Namuga Co.,Ltd","KOSDAQ"
"242040","나무기술","NAMU TECH CO.,LTD.","KOSDAQ"
"089600","나스미디어","Nasmedia Co., Ltd.","KOSDAQ"
"293580","나우IB","NAU IB Capital","KOSDAQ"
"257990","나우코스","NOWCOS","KONEX"
"138610","나이벡","NIBEC CO., LTD.","KOSDAQ"
"130580","나이스디앤비","NICE D&B CO., LTD.","KOSDAQ"
"036800","나이스정보통신","NICE INFORMATION&TELECOMMUNICATION INC.","KOSDAQ"
"030190","NICE평가정보","NICE Information Service Co., Ltd.","KOSDAQ GLOBAL"
"267320","나인테크","Naintech. CO.,LTD.","KOSDAQ"
"001260","남광토건","NamkwangEngineering&Construction","KOSPI"
"008355","남선알미우","NamsunAluminium(1P)","KOSPI"
"008350","남선알미늄","NamsunAluminium","KOSPI"
"004270","남성","Namsung","KOSPI"
"003925","남양유업우","NamyangDairyProducts(1P)","KOSPI"
"003920","남양유업","NamyangDairyProducts","KOSPI"
"025860","남해화학","NamhaeChemical","KOSPI"
"111710","남화산업","Namhwa Industrial Co.,Ltd","KOSDAQ"
"091590","남화토건","Nam Hwa Construction Company, Limited","KOSDAQ"
"168330","내츄럴엔도텍","Naturalendo Tech Co., Ltd","KOSDAQ"
"094860","네오리진","NEORIGIN","KOSDAQ"
"253590","네오셈","Neosem Inc.","KOSDAQ"
"212560","네오오토","NEOOTO Co., Ltd.","KOSDAQ"
"095660","네오위즈","NEOWIZ","KOSDAQ"
"042420","네오위즈홀딩스","NEOWIZ HOLDINDS Corporation","KOSDAQ"
"950220","네오이뮨텍","NeoImmuneTech, Inc.","KOSDAQ"
"311390","네오크레마","Neo Cremar Co., Ltd.","KOSDAQ"
"085910","네오티스","NEO TECHNICAL SYSTEM CO., LTD","KOSDAQ"
"092730","네오팜","Neopharm CO., LTD.","KOSDAQ"
"290660","네오펙트","NEOFECT Co.,Ltd","KOSDAQ"
"306620","네온테크","Neontech Co., Ltd.","KOSDAQ"
"153460","네이블","Nable Communications, Inc.","KOSDAQ"
"007390","네이처셀","NATURECELL CO.,LTD.","KOSDAQ"
"033640","네패스","NEPES Corporation","KOSDAQ"
"330860","네패스아크","Nepes Ark Corporation","KOSDAQ"
"005725","넥센우","NEXEN(1P)","KOSPI"
"005720","넥센","NEXEN","KOSPI"
"002355","넥센타이어1우B","NEXENTIRE(1PB)","KOSPI"
"002350","넥센타이어","NEXENTIRE","KOSPI"
"089140","넥스턴바이오","NEXTURNBIOSCIENCE","KOSDAQ"
"137940","넥스트아이","NextEye Co., Ltd.","KOSDAQ"
"160550","NEW","Next Entertainment World Co., Ltd.","KOSDAQ"
"396270","넥스트칩","NEXTCHIP Co., Ltd.","KOSDAQ"
"348210","넥스틴","NEXTIN Inc.","KOSDAQ"
"225570","넥슨게임즈","NEXON Games","KOSDAQ"
"217270","넵튠","Neptune Company","KOSDAQ"
"251270","넷마블","Netmarble Corporation","KOSPI"
"317860","노드메이슨","Nordmason","KONEX"
"104620","노랑풍선","Yellow Balloon Tour Co., Ltd.","KOSDAQ"
"090355","노루페인트우","NOROO PAINT(1P)","KOSPI"
"090350","노루페인트","NOROO PAINT","KOSPI"
"000325","노루홀딩스우","NorooHoldings(1P)","KOSPI"
"000320","노루홀딩스","NorooHoldings","KOSPI"
